EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 25-02-2015
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, MARIBOR-LETALISCE (STAID: 3331).
Blended and updated with sources: 115156 914026 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
115156,19770630,  131,    0
115156,19770701,    0,    0
115156,19770702,    0,    0
115156,19770703,    0,    0
115156,19770704,    1,    0
115156,19770705,   71,    0
115156,19770706,    0,    0
115156,19770707,   24,    0
115156,19770708,    4,    0
115156,19770709,  196,    0
115156,19770710,    0,    0
115156,19770711,    0,    0
115156,19770712,    0,    0
115156,19770713,   40,    0
115156,19770714,  446,    0
115156,19770715,  239,    0
115156,19770716,    0,    0
115156,19770717,    0,    0
115156,19770718,    0,    0
115156,19770719,   34,    0
115156,19770720,   11,    0
115156,19770721,   62,    0
115156,19770722,    0,    0
115156,19770723,    0,    0
115156,19770724,    0,    0
115156,19770725,  126,    0
115156,19770726,  112,    0
115156,19770727,    0,    0
115156,19770728,    0,    0
115156,19770729,    0,    0
115156,19770730,    0,    0
115156,19770731,   18,    0
115156,19770801,    0,    0
115156,19770802,    8,    0
115156,19770803,    0,    0
115156,19770804,    0,    0
115156,19770805,    0,    0
115156,19770806,    0,    0
115156,19770807,    0,    0
115156,19770808,    0,    0
115156,19770809,   30,    0
115156,19770810,   81,    0
115156,19770811,    0,    0
115156,19770812,  167,    0
115156,19770813,    0,    0
115156,19770814,   47,    0
115156,19770815,    0,    0
115156,19770816,   62,    0
115156,19770817,    0,    0
115156,19770818,   81,    0
115156,19770819,    0,    0
115156,19770820,    0,    0
115156,19770821,  154,    0
115156,19770822,    0,    0
115156,19770823,    3,    0
115156,19770824,    0,    0
115156,19770825,    0,    0
115156,19770826,    0,    0
115156,19770827,    0,    0
115156,19770828,  206,    0
115156,19770829,    0,    0
115156,19770830,    0,    0
115156,19770831,    0,    0
115156,19770901,    0,    0
115156,19770902,    0,    0
115156,19770903,    0,    0
115156,19770904,    0,    0
115156,19770905,    0,    0
115156,19770906,    0,    0
115156,19770907,    0,    0
115156,19770908,    0,    0
115156,19770909,  294,    0
115156,19770910,    0,    0
115156,19770911,    0,    0
115156,19770912,    0,    0
115156,19770913,  114,    0
115156,19770914,    0,    0
115156,19770915,    0,    0
115156,19770916,   22,    0
115156,19770917,   66,    0
115156,19770918,   50,    0
115156,19770919,   99,    0
115156,19770920,    8,    0
115156,19770921,    2,    0
115156,19770922,    0,    0
115156,19770923,    3,    0
115156,19770924,    0,    0
115156,19770925,    0,    0
115156,19770926,    0,    0
115156,19770927,    0,    0
115156,19770928,    0,    0
115156,19770929,    0,    0
115156,19770930,    0,    0
115156,19771001,   53,    0
115156,19771002,    0,    0
115156,19771003,    0,    0
115156,19771004,    0,    0
115156,19771005,    0,    0
115156,19771006,    0,    0
115156,19771007,    0,    0
115156,19771008,    0,    0
115156,19771009,    0,    0
115156,19771010,   19,    0
115156,19771011,   48,    0
115156,19771012,    3,    0
115156,19771013,    0,    0
115156,19771014,    0,    0
115156,19771015,    0,    0
115156,19771016,    0,    0
115156,19771017,    0,    0
115156,19771018,    0,    0
115156,19771019,    0,    0
115156,19771020,    0,    0
115156,19771021,    0,    0
115156,19771022,    0,    0
115156,19771023,    0,    0
115156,19771024,    0,    0
115156,19771025,    0,    0
115156,19771026,    0,    0
115156,19771027,    0,    0
115156,19771028,    0,    0
115156,19771029,   48,    0
115156,19771030,    0,    0
115156,19771031,    0,    0
115156,19771101,   46,    0
115156,19771102,    0,    0
115156,19771103,    0,    0
115156,19771104,   14,    0
115156,19771105,   39,    0
115156,19771106,    1,    0
115156,19771107,    0,    0
115156,19771108,    0,    0
115156,19771109,    0,    0
115156,19771110,    0,    0
115156,19771111,    0,    0
